starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 24 23:43:45 2015	1422164625	1	3400	3401	2939
Sat Jan 24 23:43:50 2015	1422164630	0	3405	3405	3352
Sat Jan 24 23:43:35 2015	1422164615	78	3330	3407	3329
Sat Jan 24 23:43:53 2015	1422164633	0	3408	3409	3318
Sat Jan 24 23:43:35 2015	1422164615	78	3332	3409	3271
Sat Jan 24 23:43:45 2015	1422164625	0	3417	3417	3233
Sat Jan 24 23:44:01 2015	1422164641	0	3430	3430	3422
Sat Jan 24 23:43:46 2015	1422164626	0	3431	3431	3394
Sat Jan 24 23:43:54 2015	1422164634	0	3433	3433	3412
Sat Jan 24 23:43:47 2015	1422164627	0	3433	3433	3433
Sat Jan 24 23:43:35 2015	1422164615	4	3430	3434	3245
Sat Jan 24 23:43:52 2015	1422164632	0	3439	3439	3380
Sat Jan 24 23:43:35 2015	1422164615	78	3367	3445	3238
Sat Jan 24 23:43:43 2015	1422164623	0	3467	3468	3288
Sat Jan 24 23:43:58 2015	1422164638	0	3467	3468	3394
Sat Jan 24 23:43:35 2015	1422164615	3	3467	3470	3413
Sat Jan 24 23:43:42 2015	1422164622	0	3470	3470	3064
Sat Jan 24 23:43:37 2015	1422164617	0	3471	3472	3346
Sat Jan 24 23:43:35 2015	1422164615	4	3468	3472	3412
Sat Jan 24 23:43:55 2015	1422164635	0	3475	3476	3414
Sat Jan 24 23:43:48 2015	1422164628	0	3479	3479	3261
Sat Jan 24 23:43:56 2015	1422164636	0	3479	3479	3369
Sat Jan 24 23:43:57 2015	1422164637	0	3481	3482	3393
Sat Jan 24 23:43:35 2015	1422164615	78	3408	3486	3235
Sat Jan 24 23:44:00 2015	1422164640	0	3490	3490	3427
Sat Jan 24 23:43:39 2015	1422164619	0	3491	3491	3380
Sat Jan 24 23:43:44 2015	1422164624	0	3493	3494	3212
Sat Jan 24 23:43:39 2015	1422164619	0	3496	3496	3371
Sat Jan 24 23:43:40 2015	1422164620	0	3498	3498	3299
Sat Jan 24 23:43:54 2015	1422164634	0	3498	3499	3070
Sat Jan 24 23:43:59 2015	1422164639	0	3501	3501	3416
Sat Jan 24 23:43:48 2015	1422164628	0	3502	3502	3445
Sat Jan 24 23:44:01 2015	1422164641	0	3506	3507	3466
Sat Jan 24 23:43:44 2015	1422164624	10	3501	3511	3277
Sat Jan 24 23:44:00 2015	1422164640	0	3511	3511	3404
Sat Jan 24 23:43:46 2015	1422164626	0	3513	3513	3355
Sat Jan 24 23:43:55 2015	1422164635	0	3513	3514	3426
Sat Jan 24 23:43:51 2015	1422164631	0	3518	3518	3324
Sat Jan 24 23:43:35 2015	1422164615	3	3516	3519	3268
Sat Jan 24 23:43:44 2015	1422164624	0	3524	3524	3506
Sat Jan 24 23:43:44 2015	1422164624	0	3527	3527	3437
Sat Jan 24 23:43:46 2015	1422164626	0	3527	3528	3454
Sat Jan 24 23:43:50 2015	1422164630	0	3527	3528	3351
Sat Jan 24 23:43:44 2015	1422164624	0	3528	3528	3299
Sat Jan 24 23:43:42 2015	1422164622	0	3530	3530	3339
Sat Jan 24 23:43:42 2015	1422164622	0	3531	3531	3293
Sat Jan 24 23:43:47 2015	1422164627	0	3541	3541	3509
Sat Jan 24 23:43:43 2015	1422164623	0	3542	3543	3438
Sat Jan 24 23:43:35 2015	1422164615	4	3540	3544	3434
Sat Jan 24 23:43:35 2015	1422164615	77	3468	3545	3304
Sat Jan 24 23:43:57 2015	1422164637	0	3545	3545	3366
Sat Jan 24 23:43:52 2015	1422164632	0	3547	3547	3396
Sat Jan 24 23:43:46 2015	1422164626	0	3550	3550	3266
Sat Jan 24 23:43:53 2015	1422164633	0	3561	3561	3254
Sat Jan 24 23:44:01 2015	1422164641	0	3561	3561	3543
Sat Jan 24 23:44:01 2015	1422164641	0	3563	3563	3416
Sat Jan 24 23:43:55 2015	1422164635	0	3566	3566	3536
Sat Jan 24 23:43:54 2015	1422164634	0	3573	3573	3343
Sat Jan 24 23:43:40 2015	1422164620	0	3577	3578	3317
Sat Jan 24 23:43:49 2015	1422164629	0	3580	3580	3555
Sat Jan 24 23:43:47 2015	1422164627	0	3581	3581	3535
Sat Jan 24 23:44:01 2015	1422164641	25	3559	3584	3516
Sat Jan 24 23:43:35 2015	1422164615	77	3516	3593	3419
Sat Jan 24 23:43:35 2015	1422164615	12	3582	3594	3408
Sat Jan 24 23:43:40 2015	1422164620	0	3594	3594	3462
Sat Jan 24 23:43:56 2015	1422164636	0	3600	3600	3582
Sat Jan 24 23:44:01 2015	1422164641	0	3605	3605	3596
Sat Jan 24 23:43:41 2015	1422164621	0	3611	3611	3519
Sat Jan 24 23:43:51 2015	1422164631	0	3613	3613	3568
Sat Jan 24 23:43:38 2015	1422164618	0	3615	3615	3405
Sat Jan 24 23:43:46 2015	1422164626	0	3622	3622	3437
Sat Jan 24 23:43:53 2015	1422164633	0	3631	3631	3395
Sat Jan 24 23:43:42 2015	1422164622	0	3631	3632	3571
Sat Jan 24 23:43:55 2015	1422164635	0	3639	3639	3391
Sat Jan 24 23:44:01 2015	1422164641	0	3639	3639	3620
Sat Jan 24 23:43:42 2015	1422164622	0	3642	3643	3422
Sat Jan 24 23:43:59 2015	1422164639	0	3643	3643	3605
Sat Jan 24 23:43:35 2015	1422164615	11	3634	3645	3471
Sat Jan 24 23:44:00 2015	1422164640	0	3647	3647	3536
Sat Jan 24 23:43:59 2015	1422164639	0	3651	3652	3470
Sat Jan 24 23:43:52 2015	1422164632	0	3656	3657	3442
Sat Jan 24 23:43:55 2015	1422164635	0	3657	3657	3486
Sat Jan 24 23:43:46 2015	1422164626	0	3657	3657	3527
Sat Jan 24 23:43:44 2015	1422164624	0	3660	3660	3297
Sat Jan 24 23:43:35 2015	1422164615	11	3650	3661	3490
Sat Jan 24 23:43:56 2015	1422164636	0	3672	3672	3637
Sat Jan 24 23:43:55 2015	1422164635	0	3673	3673	3544
Sat Jan 24 23:43:43 2015	1422164623	0	3676	3676	3654
Sat Jan 24 23:43:40 2015	1422164620	0	3678	3678	3349
Sat Jan 24 23:43:40 2015	1422164620	0	3680	3680	3602
Sat Jan 24 23:43:47 2015	1422164627	0	3681	3681	3590
Sat Jan 24 23:43:40 2015	1422164620	0	3705	3705	3530
Sat Jan 24 23:43:45 2015	1422164625	0	3709	3709	3461
Sat Jan 24 23:43:45 2015	1422164625	0	3712	3712	3679
Sat Jan 24 23:43:46 2015	1422164626	0	3718	3719	3604
Sat Jan 24 23:43:48 2015	1422164628	0	3719	3719	3508
Sat Jan 24 23:43:35 2015	1422164615	3	3719	3722	3333
Sat Jan 24 23:43:47 2015	1422164627	0	3722	3722	3637
Sat Jan 24 23:43:35 2015	1422164615	77	3647	3724	3531
Sat Jan 24 23:43:43 2015	1422164623	0	3731	3732	3434
Sat Jan 24 23:43:54 2015	1422164634	0	3732	3732	3548
Sat Jan 24 23:43:37 2015	1422164617	0	3735	3735	3279
Sat Jan 24 23:43:49 2015	1422164629	0	3740	3740	3716
Sat Jan 24 23:43:35 2015	1422164615	78	3664	3741	3552
Sat Jan 24 23:44:01 2015	1422164641	0	3742	3742	3729
